nomeEstacao,codEstacao,latitude,longitude,data,ano,mes,valorMedida,coordenadas
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-16,2023,2,24.599999999999998,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-17,2023,2,2.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-18,2023,2,13.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-19,2023,2,5.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-20,2023,2,4.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-21,2023,2,2.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-22,2023,2,1.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-23,2023,2,1.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-24,2023,2,8.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-25,2023,2,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-26,2023,2,1.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-02-28,2023,2,3.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-01,2023,3,5.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-02,2023,3,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-03,2023,3,2.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-04,2023,3,23.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-05,2023,3,35.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-06,2023,3,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-07,2023,3,1.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-09,2023,3,2.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-10,2023,3,12.200000000000001,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-11,2023,3,13.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-12,2023,3,14.200000000000001,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-13,2023,3,13.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-14,2023,3,55.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-15,2023,3,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-16,2023,3,1.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-17,2023,3,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-18,2023,3,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-20,2023,3,2.4000000000000004,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-22,2023,3,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-24,2023,3,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-25,2023,3,1.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-26,2023,3,9.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-27,2023,3,12.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-28,2023,3,0.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-29,2023,3,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-30,2023,3,14.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-03-31,2023,3,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-01,2023,4,1.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-02,2023,4,0.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-03,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-04,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-05,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-06,2023,4,1.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-07,2023,4,14.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-08,2023,4,2.4000000000000004,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-09,2023,4,1.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-10,2023,4,2.8,"-48.41638888,-24.96277777"
